shipment_id,order_id,status,shipped_date,delivery_date
SHIP-00387,387,Delivered,2026-05-29 08:05:16,2026-06-01 08:05:16
SHIP-00388,388,Delivered,2026-03-12 13:54:18,2026-03-15 13:54:18
SHIP-00389,389,Delivered,2026-05-31 18:41:18,2026-06-05 18:41:18
SHIP-00390,390,In Transit,2026-02-21 09:01:24,
SHIP-00391,391,Cancelled,2026-06-11 14:16:34,
SHIP-00392,392,Delivered,2026-03-07 21:17:10,2026-03-14 21:17:10
SHIP-00393,393,Delivered,2025-10-10 06:18:24,2025-10-17 06:18:24
SHIP-00394,394,Cancelled,2026-03-04 10:53:40,
SHIP-00395,395,In Transit,2026-08-12 17:39:07,
SHIP-00396,396,In Transit,2025-09-17 06:29:35,
SHIP-00397,397,In Transit,2026-06-13 11:56:43,
SHIP-00398,398,Delivered,2026-07-15 02:06:43,2026-07-23 02:06:43
SHIP-00399,399,Delivered,2026-03-10 21:16:54,2026-03-17 21:16:54
SHIP-00400,400,Delivered,2026-02-15 17:27:22,2026-02-23 17:27:22
SHIP-00401,401,Delivered,2026-08-18 12:47:15,2026-08-24 12:47:15
SHIP-00402,402,Delivered,2025-09-22 15:32:47,2025-09-25 15:32:47
SHIP-00403,403,In Transit,2026-02-23 09:00:21,
SHIP-00404,404,Delivered,2026-01-25 02:50:45,2026-01-29 02:50:45
SHIP-00405,405,Cancelled,2026-05-10 00:31:53,
SHIP-00406,406,Delivered,2026-02-26 11:56:40,2026-03-02 11:56:40
SHIP-00407,407,Cancelled,2026-07-30 16:35:04,
SHIP-00408,408,Delivered,2025-09-27 06:34:03,2025-10-02 06:34:03
SHIP-00409,409,Delivered,2025-09-29 22:33:19,2025-10-05 22:33:19
SHIP-00410,410,Delivered,2026-04-10 14:33:17,2026-04-17 14:33:17
SHIP-00411,411,Delivered,2025-09-25 10:07:12,2025-09-29 10:07:12
SHIP-00412,412,Delivered,2025-12-10 21:05:23,2025-12-17 21:05:23
SHIP-00413,413,Cancelled,2026-04-19 15:45:51,
SHIP-00414,414,Delivered,2026-03-19 17:07:35,2026-03-26 17:07:35
SHIP-00415,415,Cancelled,2025-12-29 04:51:47,
SHIP-00416,416,Delivered,2026-08-29 17:02:01,2026-08-31 17:02:01
SHIP-00417,417,Delivered,2026-03-14 05:05:58,2026-03-22 05:05:58
SHIP-00418,418,In Transit,2026-02-13 03:31:33,
SHIP-00419,419,In Transit,2026-04-10 13:23:29,
SHIP-00420,420,Delivered,2025-10-07 15:44:24,2025-10-12 15:44:24
SHIP-00421,421,In Transit,2026-05-14 17:59:43,
SHIP-00422,422,Delivered,2026-07-08 21:44:31,2026-07-14 21:44:31
SHIP-00423,423,Delivered,2026-04-27 04:08:41,2026-05-02 04:08:41
SHIP-00424,424,Delivered,2026-06-08 06:54:29,2026-06-11 06:54:29
SHIP-00425,425,Delivered,2026-05-22 17:04:30,2026-05-25 17:04:30
SHIP-00426,426,Cancelled,2025-11-18 23:12:22,
SHIP-00427,427,Delivered,2026-02-12 08:35:15,2026-02-18 08:35:15
SHIP-00428,428,In Transit,2025-11-22 21:17:07,
SHIP-00429,429,In Transit,2026-01-03 05:21:31,
SHIP-00430,430,Cancelled,2026-02-14 01:37:41,
SHIP-00431,431,Cancelled,2026-01-30 08:49:51,
SHIP-00432,432,In Transit,2025-10-06 03:51:54,
SHIP-00433,433,Delivered,2026-02-04 07:16:35,2026-02-10 07:16:35
SHIP-00434,434,Delivered,2026-05-02 08:32:29,2026-05-06 08:32:29
SHIP-00435,435,Delivered,2026-01-16 03:23:54,2026-01-18 03:23:54
SHIP-00436,436,Delivered,2025-10-26 04:21:42,2025-11-01 04:21:42
SHIP-00437,437,Cancelled,2026-08-04 13:01:51,
SHIP-00438,438,Delivered,2025-09-24 22:50:24,2025-09-26 22:50:24
SHIP-00439,439,Cancelled,2026-07-02 05:28:41,
SHIP-00440,440,Cancelled,2025-10-04 11:35:53,
SHIP-00441,441,Delivered,2025-10-05 16:49:34,2025-10-07 16:49:34
SHIP-00442,442,Cancelled,2026-05-29 06:28:26,
SHIP-00443,443,Delivered,2026-06-23 22:08:25,2026-06-29 22:08:25
SHIP-00444,444,Cancelled,2026-03-23 15:22:40,
SHIP-00445,445,Cancelled,2026-04-03 15:10:39,
SHIP-00446,446,Delivered,2026-03-24 13:05:50,2026-03-28 13:05:50
SHIP-00447,447,Cancelled,2025-12-30 19:57:47,
SHIP-00448,448,Cancelled,2025-10-15 01:48:56,
SHIP-00449,449,Delivered,2026-01-07 13:55:17,2026-01-13 13:55:17
SHIP-00450,450,Delivered,2026-05-02 10:34:51,2026-05-10 10:34:51
SHIP-00451,451,Delivered,2026-06-01 11:10:38,2026-06-03 11:10:38
SHIP-00452,452,In Transit,2026-07-14 11:51:10,
SHIP-00453,453,Delivered,2026-05-22 19:00:37,2026-05-29 19:00:37
SHIP-00454,454,In Transit,2026-08-21 03:06:55,
SHIP-00455,455,In Transit,2026-04-07 17:24:58,
SHIP-00456,456,Delivered,2026-01-07 20:48:41,2026-01-13 20:48:41
SHIP-00457,457,Delivered,2026-03-30 12:15:38,2026-04-05 12:15:38
SHIP-00458,458,Delivered,2025-11-18 03:10:58,2025-11-25 03:10:58
SHIP-00459,459,Delivered,2026-04-29 07:09:30,2026-05-04 07:09:30
SHIP-00460,460,Delivered,2025-11-22 08:02:32,2025-11-24 08:02:32
SHIP-00461,461,In Transit,2025-10-10 22:58:54,
SHIP-00462,462,Delivered,2026-07-06 04:42:21,2026-07-08 04:42:21
SHIP-00463,463,Delivered,2026-01-12 16:19:03,2026-01-17 16:19:03
SHIP-00464,464,Delivered,2026-06-06 23:11:00,2026-06-09 23:11:00
SHIP-00465,465,Delivered,2026-03-30 02:47:18,2026-04-01 02:47:18
SHIP-00466,466,Delivered,2026-06-22 06:16:27,2026-06-24 06:16:27
SHIP-00467,467,Delivered,2026-07-06 02:47:34,2026-07-08 02:47:34
SHIP-00468,468,Delivered,2026-08-23 09:00:25,2026-08-30 09:00:25
SHIP-00469,469,In Transit,2026-06-26 08:29:56,
SHIP-00470,470,In Transit,2026-04-13 12:48:06,
SHIP-00471,471,Delivered,2026-04-24 04:06:43,2026-04-28 04:06:43
SHIP-00472,472,Cancelled,2025-09-10 00:30:01,
SHIP-00473,473,Delivered,2026-08-05 18:29:43,2026-08-10 18:29:43
SHIP-00474,474,In Transit,2026-06-30 09:13:11,
SHIP-00475,475,Delivered,2025-12-08 02:44:53,2025-12-10 02:44:53
SHIP-00476,476,Delivered,2025-11-05 07:50:58,2025-11-09 07:50:58
SHIP-00477,477,Delivered,2026-05-16 02:03:15,2026-05-24 02:03:15
SHIP-00478,478,Delivered,2025-12-22 06:51:04,2025-12-26 06:51:04
SHIP-00479,479,Delivered,2026-01-03 13:11:12,2026-01-05 13:11:12
SHIP-00480,480,Cancelled,2025-09-03 15:53:14,
SHIP-00481,481,Cancelled,2026-07-15 03:22:23,
SHIP-00482,482,Cancelled,2026-03-27 06:36:01,
SHIP-00483,483,Delivered,2026-01-24 19:32:41,2026-01-27 19:32:41
SHIP-00484,484,Delivered,2025-10-22 06:00:17,2025-10-26 06:00:17
SHIP-00485,485,Delivered,2026-04-20 16:35:58,2026-04-24 16:35:58
SHIP-00486,486,Delivered,2025-09-11 15:05:53,2025-09-18 15:05:53
SHIP-00487,487,Delivered,2026-05-30 22:36:07,2026-06-04 22:36:07
SHIP-00488,488,Delivered,2025-11-19 00:10:07,2025-11-26 00:10:07
SHIP-00489,489,Delivered,2026-01-31 18:30:59,2026-02-03 18:30:59
SHIP-00490,490,In Transit,2026-01-03 22:34:40,
SHIP-00491,491,Cancelled,2026-01-14 14:09:43,
SHIP-00492,492,Cancelled,2026-05-21 23:42:09,
SHIP-00493,493,Delivered,2026-06-12 03:55:12,2026-06-18 03:55:12
SHIP-00494,494,Cancelled,2026-03-26 17:45:16,
SHIP-00495,495,Cancelled,2025-10-02 11:04:42,
SHIP-00496,496,Cancelled,2025-09-19 15:31:18,
SHIP-00497,497,Delivered,2025-10-28 22:10:58,2025-11-02 22:10:58
SHIP-00498,498,Cancelled,2026-04-15 02:11:12,
SHIP-00499,499,Delivered,2026-05-05 14:12:48,2026-05-10 14:12:48
SHIP-00500,500,Cancelled,2025-12-08 19:33:13,
